sku_variant,image_url
cf35703b75,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
9e936c4805,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
a937a64d60,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
e133bdded4,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
5feb4c529a,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
5c7ce6d5bb,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
7269da8721,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
7df8ad26d5,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
daf29c577f,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
ed60b9af27,https://contents.mediadecathlon.com/m23920199/k$f82ff8ad00f3780deb08c66c84490aa9/sq/bc09ae98-e46a-4c48-87d8-9b7a20d6b782_c1c4c14.jpg?format=auto&f=800x0
d00cbeabcf,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
f0aec3bf9b,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
eb0d485dc9,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
3c490e8b80,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
e31a3922bf,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
533292464c,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
69bbed4369,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
c7ff6406b3,https://contents.mediadecathlon.com/p2720352/k$b9f0fd1ce37745dd06a5167e5fcab478/sq/8906061.jpg?format=auto&f=800x0
dd5767ae46,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
9f1849bd01,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
4768cb087a,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
da6acc4f3f,https://contents.mediadecathlon.com/m18434199/k$39db56c8a1650cf0a00c7f0cbe36aa34/sq/10f1202d-cf90-4f61-8dcc-d701c535aa2c_c5c249c14.jpg?format=auto&f=800x0
